stores_id,Name,store_url
616,Tiger Suger Trần Quốc Hoàn - Trà Sữa - Trần Quốc Hoàn,https://shopeefood.vn/ha-noi/tiger-suger-tran-quoc-hoan-tra-sua-tran-quoc-hoan.rsjbsk
617,Chân Gà Bay Online,https://shopeefood.vn/ha-noi/chan-ga-bay-online
618,"Hương Vị Việt - Gà Rán, Gà Luộc & Gà Ủ Muối - Pháo Đài Láng",https://shopeefood.vn/ha-noi/huong-vi-viet-ga-ran-ga-luoc-ga-u-muoi-phao-dai-lang
619,Royaltea - Trà Sữa Hồng Kông - Linh Đàm,https://shopeefood.vn/ha-noi/royaltea-linh-dam
620,Nhất Cháo - Nguyễn Thị Định,https://shopeefood.vn/ha-noi/nhat-chao-nguyen-thi-dinh
621,Bún Đậu Mắm Tôm Phan Hưng - Phan Văn Trường,https://shopeefood.vn/ha-noi/bun-dau-mam-tom-phan-hung-phan-van-truong
622,Teen Food - Nem Chua Rán Chị Hạnh - Dương Khuê,https://shopeefood.vn/ha-noi/teen-food-nem-chua-ran-chi-hanh-duong-khue
623,Trùm Ăn Vặt Nana - Phố Đặng Thai Mai,https://shopeefood.vn/ha-noi/trum-an-vat-nana-au-co
624,Bún Bò Huế O Thi,https://shopeefood.vn/ha-noi/bun-bo-hue-o-thi
625,Tiệm Mì Indo - Đặng Văn Ngữ,https://shopeefood.vn/ha-noi/tiem-mi-indo-dang-van-ngu
626,Chân Gà Rút Xương Sốt Thái & Ngâm Sả Tắc - Bếp Mẹ Bi,https://shopeefood.vn/ha-noi/chan-ga-rut-xuong-sot-thai-ngam-sa-tac-bep-me-bi
627,Tiệm Mì Aji - Mì Trộn Indomie - Triều Khúc,https://shopeefood.vn/ha-noi/tiem-mi-aji-mi-tron-indomie-trieu-khuc.nbbfgq
628,Tiệm Cú Đêm - Triều Khúc - Shop Online,https://shopeefood.vn/ha-noi/tiem-cu-dem-trieu-khuc-shop-online
629,Vị Miền Trung - Bún Bò Huế & Bánh Tráng Cuốn Thịt Heo - Lê Trọng Tấn,https://shopeefood.vn/ha-noi/vi-mien-trung-bun-bo-hue-banh-trang-cuon-thit-heo-le-trong-tan
630,Bún Đậu Ngõ Nhỏ - Bún Đậu Mắm Tôm - 235 Yên Hoà,https://shopeefood.vn/ha-noi/bun-dau-ngo-nho-bun-dau-mam-tom-235-yen-hoa
631,Trà Bí Đao Cát Tiên - Lê Hồng Phong,https://shopeefood.vn/ha-noi/tra-bi-dao-cat-tien-le-hong-phong
632,Một Chút - Đậm Vị Trà Pha Máy,https://shopeefood.vn/ha-noi/mot-chut-dam-vi-tra-pha-may
633,"Kim Liên - Bún, Miến & Bánh Đa Cua - Lương Định Của",https://shopeefood.vn/ha-noi/kim-lien-bun-mien-banh-da-cua-luong-dinh-cua
634,Bản Gác Food - Trâu Gác Bếp - Vinhomes Smart City,https://shopeefood.vn/ha-noi/ban-gac-food-trau-gac-bep-vinhomes-smart-city
635,Trà Chanh Giã Tay Chị Đẹp - 307 Tô Hiệu,https://shopeefood.vn/ha-noi/tra-chanh-gia-tay-chi-dep-307-to-hieu
636,Trà Chanh Giã Tay Chị Đẹp - 3 Nguyễn Biểu,https://shopeefood.vn/ha-noi/tra-chanh-gia-tay-chi-dep-3-nguyen-bieu
637,Tiệm Bé Xoài Nước Ép Tươi Nguyên Chất & Sinh Tố Hoa Quả,https://shopeefood.vn/ha-noi/tiem-be-xoai-nuoc-ep-tuoi-nguyen-chat-sinh-to-hoa-qua
638,Cơm Niêu 157 - Cơm Văn Phòng - Mỹ Đình,https://shopeefood.vn/ha-noi/com-nieu-157-com-van-phong-my-dinh
639,Ăn Vặt Ngon - Xoài Cóc Bao Tử & Nem Chua Rán - Khuất Duy Tiến,https://shopeefood.vn/ha-noi/an-vat-ngon-xoai-coc-bao-tu-nem-chua-ran-khuat-duy-tien
640,Little Kitchen - Tiệm Mì Indome Online,https://shopeefood.vn/ha-noi/little-kitchen-tiem-mi-indome-online
641,Xôi Nhà Lười,https://shopeefood.vn/ha-noi/xoi-nha-luoi
642,Bastet's Home - Trà Sữa & Ăn Vặt - Hà Đông,https://shopeefood.vn/ha-noi/bastet-s-home-tra-sua-an-vat-ha-dong
643,Bún Đậu Mắm Tôm - Giả Cầy - Hàng Bún,https://shopeefood.vn/ha-noi/bun-dau-mam-tom-gia-cay-hang-bun-quan-thanh
644,3T Food Chân Gà Sốt Thái - Vương Thừa Vũ,https://shopeefood.vn/ha-noi/3t-food-chan-ga-sot-thai-vuong-thua-vu
645,Trúc Vy - Xôi Mặn & Phở Tíu - Shop Online,https://shopeefood.vn/ha-noi/truc-vy-xoi-man-pho-tiu-shop-online
646,Cơm Văn Phòng - Phú Thắng,https://shopeefood.vn/ha-noi/com-van-phong-phu-thang
647,Gà Tần & Mì Gà Tần - Tô Hiệu,https://shopeefood.vn/ha-noi/ga-tan-mi-ga-tan-to-hieu
648,Lang Thang Cà Phê - Đỗ Hành,https://shopeefood.vn/ha-noi/lang-thang-ca-phe-do-hanh
649,Huyền Anh Bún Riêu Cua Tóp Mỡ - Trần Đại Nghĩa,https://shopeefood.vn/ha-noi/huyen-anh-bun-rieu-cua-top-mo-tran-dai-nghia
